CB My chunked:
ID,Sensitivity,Precision (PPV),Our Quality,Diff HR[bpm],SDNN [s],RMSSD [s],TP,FP,FN
0329_0min,100.0,100.0,100.0,0.0,0.023848619080873226,0.014552404844989946,86,0,0
0329_1min,98.07692307692307,100.0,100.0,0.6191950464396285,0.0736690145343974,0.00867307455417179,102,0,2
0329_2min,99.11504424778761,100.0,100.0,0.0,0.011538802137378746,0.004168181542799872,112,0,1
0329_3min,97.97979797979798,100.0,100.0,0.0,0.03354775867727259,0.004379644568878575,97,0,2
0329_4min,98.86363636363636,100.0,100.0,0.1951536835257741,0.014783252640074684,0.007320844981409603,87,0,1
0329_5min,97.61904761904762,100.0,100.0,0.0,0.012690253110379125,0.009574271077563385,82,0,2
0329_6min,98.78048780487805,100.0,100.0,0.16902836859453885,0.017570838767685507,0.010817498976514468,81,0,1
0329_7min,100.0,100.0,100.0,0.3273322422258502,0.010484841540229892,0.00982815306110932,77,0,0
0328_0min,98.91304347826086,100.0,100.0,0.0,0.014578673564768958,0.009734297833285973,91,0,1
0328_1min,98.85057471264368,100.0,100.0,0.19156884239207272,0.01120800504829605,0.007884751877472885,86,0,1
0328_2min,98.80952380952381,100.0,100.0,0.0,0.008452645773352077,0.008819171036881963,83,0,1
0328_3min,98.79518072289156,100.0,100.0,0.17427506414290406,0.016734151844807664,0.012167808165629325,82,0,1
0328_4min,98.76543209876543,100.0,100.0,0.3301419610432532,0.013157522733918488,0.009607689228305226,80,0,1
0328_5min,98.75,100.0,100.0,0.0,0.01382985481534793,0.012758156715237633,79,0,1
0328_6min,98.73417721518987,100.0,100.0,0.31380753138076045,0.02412525798695558,0.024285099997145274,78,0,1
0328_7min,100.0,100.0,100.0,0.1661359545895067,0.01607125513495457,0.011987647963787703,77,0,0
0030_0min,96.49122807017544,100.0,100.0,0.6651884700665391,0.09295419806160525,0.12857840956944291,110,0,4
0030_1min,90.69767441860465,100.0,98.32804232804233,0.8273579702151181,0.14205374539514987,0.21630337435753078,117,0,12
0030_2min,96.72131147540983,100.0,99.37037037037038,0.7444168734491114,0.0826743123549329,0.12176110332747854,118,0,4
0030_3min,97.5609756097561,100.0,100.0,1.5582391897156356,0.07001239041463794,0.08774320518705236,120,0,3
0030_4min,99.0909090909091,100.0,100.0,0.6415739948674144,0.16998373500017305,0.24774245495582492,109,0,1
0030_5min,95.86776859504133,100.0,100.0,0.0,0.0852034692364242,0.1269379980960145,116,0,5
0030_6min,92.06349206349206,100.0,100.0,0.0,0.12754563206464253,0.1828894147065267,116,0,10
0030_7min,92.74193548387096,100.0,99.21671018276761,0.8386916410399721,0.12746284808124897,0.18696615250598397,115,0,9
